IDCIM10	LIB	IDCHAP	CODE1	NIVEAU	CODE2	LOGIN	STATUT	INTERDIT	FREQ
2	Choléra à Vibrio cholerae 01, biovar cholerae	0	A000	2			0	0	3
4	Choléra, sans précision	0	A009	2			0	0	5
6	Fièvre typhoïde	0	A010	2			0	0	42
7	Paratyphoïde A	0	A011	2			0	0	1
10	Paratyphoïde, sans précision	0	A014	2			0	0	2
12	Entérite à Salmonella	0	A020	2			0	0	17
13	Sepsis à Salmonella	0	A021	3			0	0	48
14	Infection localisée à Salmonella	0	A022	2			0	0	10
15	Autres infections précisées à Salmonella	0	A028	2			0	0	6
16	Salmonellose, sans précision	0	A029	2			0	0	90
18	Shigellose à Shigella dysenteriae	0	A030	2			0	0	2
23	Shigellose, sans précision	0	A039	2			0	0	13
25	Infection entéropathogène à Escherichia coli	0	A040	2			0	0	2
26	Infection entérotoxigène à Escherichia coli	0	A041	2			0	0	1
27	Infection entéro-invasive à Escherichia coli	0	A042	2			0	0	3
28	Infection entéro-hémorragique à Escherichia coli	0	A043	2			0	0	4
29	Autres infections intestinales à Escherichia coli	0	A044	1			0	0	6
30	Entérite à Campylobacter	0	A045	1			0	0	29
31	Entérite à Yersinia enterocolitica	0	A046	2			0	0	10
32	Colite pseudomembraneuse Intoxication d'origine alimentaire à Clostridium difficile	0	A047	4			0	0	891
33	Autres infections intestinales bactériennes précisées	0	A048	1			0	0	25
34	Infection intestinale bactérienne, sans précision	0	A049	1			0	0	65
36	Intoxication alimentaire à staphylocoques	0	A050	1			0	0	3
37	Botulisme	0	A051	4			0	0	4
38	Intoxication alimentaire à Clostridium perfringens [Clostridium welchii]	0	A052	4			0	0	3
40	Intoxication alimentaire à Bacillus cereus	0	A054	1			0	0	1
41	Autres intoxications bactériennes d'origine alimentaire précisées	0	A058	1			0	0	2
42	Intoxication bactérienne d'origine alimentaire, sans précision	0	A059	1			0	0	25
44	Dysenterie amibienne (aiguë)	0	A060	1			0	0	10
45	Amibiase intestinale chronique	0	A061	1			0	0	10
46	Colite amibienne non dysentérique	0	A062	1			0	0	10
48	Abcès amibien du foie	0	A064	2			0	0	50
49	Abcès amibien du poumon (J99.8*)	0	A065	2			0	0	1
50	Abcès amibien du cerveau (G07*)	0	A066	2			0	0	1
51	Amibiase cutanée	0	A067	1			0	0	3
53	Amibiase, sans précision	0	A069	1			0	0	18
56	Giardiase [lambliase]	0	A071	2			0	0	28
57	Cryptosporidiose	0	A072	3			0	0	65
58	Infection à Isospora	0	A073	3			0	0	81
59	Microsporidiose intestinale, Sarcocystose, Sarcosporidiose	0	A078	2			0	0	7
60	Maladie intestinale à protozoaires, sans précision	0	A079	2			0	0	6
62	Entérite à rotavirus	0	A080	2			0	0	7
63	Gastro-entéropathie (aiguë) à l'agent de Norwalk	0	A081	2			0	0	3
64	Entérite à adénovirus	0	A082	2			0	0	18
65	Autres entérites virales	0	A083	2			0	0	8
66	Infections intestinales virales, sans précision	0	A084	2			0	0	43
67	Autres infections intestinales précisées	0	A085	2			0	0	17
68	Diarrhée et gastro-entérite d'origine présumée infectieuse	0	A09	1			0	0	1212
69	Gastroentérites et colites d'origine infectieuse, autres et non précisées	0	A090	2			0	0	799
70	Gastroentérites et colites d'origine non précisée	0	A099	1			0	0	129
72	Tuberculose pulmonaire, confirmée par examen microscopique de l'expectoration, avec ou sans culture	0	A150	2			0	0	804
73	Tuberculose pulmonaire, confirmée par culture seulement	0	A151	2			0	0	167
74	Tuberculose pulmonaire, avec confirmation histologique	0	A152	2			0	0	125
75	Tuberculose pulmonaire, avec confirmation, moyen non précisé	0	A153	2			0	0	430
76	Tuberculose des ganglions intrathoraciques, avec confirmation bactériologique et histologique	0	A154	2			0	0	154
77	Tuberculose du larynx, de la trachée et des bronches, avec confirmation bactériologique et histologique	0	A155	2			0	0	7
78	Pleurésie tuberculeuse, avec confirmation bactériologique et histologique	0	A156	2			0	0	130
79	Primo-infection tuberculeuse de l'appareil respiratoire, avec confirmation bactériologique et histologique	0	A157	2			0	0	87
80	Autres formes de tuberculose de l'appareil respiratoire, avec confirmation bactériologique et histologique	0	A158	2			0	0	20
81	Tuberculose de l'appareil respiratoire sans précision, avec confirmation bactériologique et histologique	0	A159	1			0	0	552
83	Tuberculose pulmonaire, avec examens bactériologique et histologique négatifs	0	A160	2			0	0	62
84	Tuberculose pulmonaire, sans examen bactériologique et histologique	0	A161	2			0	0	69
85	Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique)	0	A162	2			0	0	1228
86	Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique)	0	A163	2			0	0	143
87	Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique)	0	A164	2			0	0	7
88	Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique)	0	A165	2			0	0	199
89	Primo-infection tuberculeuse de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)	0	A167	2			0	0	44
90	Autres formes de tuberculose de l'appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)	0	A168	2			0	0	16
91	Tuberculose de l'appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)	0	A169	2			0	0	262
93	Méningite tuberculeuse (G01*)	0	A170	3			0	0	154
94	Tuberculome méningé (G07*)	0	A171	3			0	0	57
95	Autres formes de tuberculose du système nerveux	0	A178	3			0	0	40
96	Tuberculose du système nerveux, sans précision (G99.8*)	0	A179	3			0	0	60
98	Tuberculose des os et des articulations	0	A180	3			0	0	310
99	Tuberculose de l'appareil génito-urinaire	0	A181	2			0	0	113
100	Adénopathie tuberculeuse périphérique	0	A182	2			0	0	365
101	Tuberculose de l'intestin, du péritoine et des ganglions mésentériques	0	A183	3			0	0	287
102	Tuberculose de la peau et du tissu cellulaire sous-cutané	0	A184	2			0	0	124
103	Tuberculose de l'oeil	0	A185	2			0	0	7
104	Tuberculose de l'oreille	0	A186	2			0	0	4
105	Tuberculose des surrénales (E35.1*)	0	A187	2			0	0	3
106	Tuberculose d'autres organes précisés	0	A188	2			0	0	258
108	Tuberculose miliaire aiguë, localisation unique et précisée	0	A190	4			0	0	15
109	Tuberculose miliaire aiguë, sièges multiples	0	A191	4			0	0	169
110	Tuberculose miliaire aiguë, sans précision	0	A192	4			0	0	25
111	Autres tuberculoses miliaires	0	A198	4			0	0	9
112	Tuberculose miliaire, sans précision	0	A199	4			0	0	358
114	Peste bubonique	0	A200	2			0	0	1
117	Peste méningée	0	A203	2			0	0	1
122	Tularémie ulcéro-glandulaire	0	A210	2			0	0	1
127	Autres formes de tularémie	0	A218	2			0	0	1
131	Charbon pulmonaire	0	A221	2			0	0	2
135	Charbon, sans précision	0	A229	2			0	0	1
137	Brucellose à Brucella melitensis	0	A230	2			0	0	7
139	Brucellose à Brucella suis	0	A232	2			0	0	1
142	Brucellose, sans précision	0	A239	2			0	0	10
151	Streptobacillose	0	A251	2			0	0	1
152	Fièvre causée par morsure de rat, sans précision	0	A259	2			0	0	1
154	Érysipéloïde cutanée	0	A260	2			0	0	7
156	Autres formes d'érysipéloïde	0	A268	2			0	0	4
157	Érysipéloïde, sans précision	0	A269	2			0	0	4
159	Leptospirose ictéro-hémorragique	0	A270	2			0	0	5
161	Leptospirose, sans précision	0	A279	2			0	0	11
163	Pasteurellose	0	A280	2			0	0	10
164	Maladie des griffes du chat	0	A281	1			0	0	16
165	Yersiniose extra-intestinale	0	A282	1			0	0	1
169	Lèpre indéterminée	0	A300	2			0	0	5
170	Lèpre tuberculoïde	0	A301	2			0	0	9
171	Lèpre tuberculoïde de type intermédiaire atypique	0	A302	2			0	0	6
172	Lèpre de type intermédiaire atypique	0	A303	2			0	0	3
173	Lèpre lépromateuse de type intermédiaire atypique	0	A304	2			0	0	2
174	Lèpre lépromateuse	0	A305	2			0	0	11
175	Autres formes de lèpre	0	A308	2			0	0	12
176	Lèpre, sans précision	0	A309	2			0	0	75
178	Infection pulmonaire à mycobactéries atypiques	0	A310	3			0	0	199
179	Infection cutanée à mycobacteries atypiques	0	A311	3			0	0	37
180	Autres infections à mycobacteries atypiques	0	A318	3			0	0	56
181	Infection à mycobacteries atypiques, sans précision	0	A319	3			0	0	215
183	Listériose cutanée	0	A320	3			0	0	1
184	Méningite et méningo-encéphalite listériennes	0	A321	4			0	0	13
185	Sepsis à Listeria listérienne	0	A327	3			0	0	5
186	Autres formes de listériose	0	A328	3			0	0	1
187	Listériose, sans précision	0	A329	3			0	0	13
188	Tétanos néonatal	0	A33	3			0	0	1
189	Tétanos obstétrical	0	A34	3			0	0	1
190	Autres formes de tétanos	0	A35	3			0	0	4
192	Diphtérie pharyngée	0	A360	2			0	0	4
199	Coqueluche à Bordetella pertussis	0	A370	2			0	0	7
202	Coqueluche, sans précision	0	A379	2			0	0	11
203	Scarlatine	0	A38	2			0	0	1
205	Méningite à méningocoques (G01*)	0	A390	4			0	0	43
206	Syndrome de Waterhouse-Friderichsen (E35.1*)	0	A391	2			0	0	1
207	Méningococcémie aiguë	0	A392	3			0	0	14
211	Autres infections à méningocoques	0	A398	2			0	0	1
212	Infection méningococcique, sans précision	0	A399	2			0	0	24
