"NUM_HOPITAL"	"HOPITAL"	"POLE"	"POLE.LIB"	"CHEF.SERVICE"	"SERVICE"	"URM"	"URM.LIB"	"UH"	"UH.LIB"	"UA"	"VAL.DEB"	"VAL.FIN"	"UGIPOP"
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	346	"HOP-JR-CARDI"	428	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	344	"P-SOULIE-M"	444	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	343	"CARDIO-GREFF"	449	"01/01/1992"	"01/01/2005"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	348	"S-GRISOLLE"	444	"01/01/1992"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	365	"S-C-LAUBRY-M"	444	"01/01/1992"	"04/11/1997"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	345	"HSEM MED-CARDIO"	447	"27/03/1997"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	341	"HDJ READAPTATION 2CATEGORIE"	458	"01/11/2005"	"01/01/2007"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	347	"HC CARDIO LIBERAL"	444	"01/01/2011"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	349	"HSEM CARDIO LIBERAL"	447	"01/01/2011"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie"	40	"Cardiologie"	350	"HDJ CARDIO LIBERAL"	428	"01/01/2011"	"01/01/3000"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie USI "	40	"USIC"	352	"REA-D-ROUTIER"	449	"01/01/1992"	"14/01/2004"	
47	"Lariboisiere"	106	"Urgences"	"PR COHENSOLAL"	"Cardiologie USI "	42	"USIC"	353	"USIC D ROUTIER"	449	"13/01/2004"	"01/01/3000"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	472	"ORTHOPEDIE 2 ETG"	4711	"29/03/1996"	"01/01/3000"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	476	"ORTHOPEDIE CL-P-W"	4711	"29/03/1996"	"01/06/2004"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	477	"ORTHOPEDIE CL-P-S"	4711	"29/03/1996"	"01/01/3000"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	482	"TRAUMATOLOGIE"	4711	"29/03/1996"	"01/01/3000"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	487	"ORTHOPEDIE CL-P-N"	4711	"06/01/2003"	"01/01/3000"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	489	"ORTH ANEST CHIR AMBUL"	4729	"10/11/1998"	"27/11/2005"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	486	"H-J-ORTHO-TRAUMA"	4748	"29/03/1996"	"01/01/3000"	
47	"Lariboisiere"	103	"Appareil Locomoteur"	"PR SEDEL"	"Chirurgie Orthopedique"	470	"Orthopedie"	488	"ORTHOPEDIE PRIV H"		"01/06/2010"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	571	"CHIRURGIE-1"	812	"01/01/1992"	"03/02/2007"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	572	"CHIRURGIE-3"	812	"01/01/1992"	"03/02/2007"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	573	"SC-CHIRURG-2"	812	"01/01/1992"	"02/06/1995"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	574	"CHIRURGIE-RC"	812	"01/01/1992"	"03/02/2007"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	575	"CHIR-CL-P"	812	"01/01/1992"	"03/02/2007"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	577	"HOPSEM-CHIR-"	812	"01/01/1992"	"01/01/2002"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	579	"HOSP-MAL-LAS"	812	"01/01/1992"	"01/01/2002"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	581	"REA-CHIRUR-A"	816	"01/01/1992"	"14/01/2004"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	583	"REA-CHIR-CL-P"	816	"01/01/1992"	"14/01/2004"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	144	"HOSP.CHIR.GALE 1ER"	4231	"01/01/2007"	"15/02/2012"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	145	"HOSP.CHIR.GALE 3E"	4231	"02/01/2007"	"01/02/2012"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	146	"HOSP.CHIR.GALE RDC"	4231	"02/01/2007"	"01/02/2012"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie digestive"	147	"CHIR-CL-P"	4231	"08/01/2007"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	23	"Chirurgie vicerale ambulatoire"	4231	"01/01/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	148	"CHIRURGIE HDS"	4235	"01/06/2010"	"01/02/2012"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	899	"HOSP.CHIR.GALE 3EME"	5001	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	898	"HOSP. CHIR GALE 1ER"	5001	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	900	"HSEM CHIR"	5002	"15/12/2011"	"01/01/3000"	
47	"Lariboisiere"	105	"DUNEGO"	"PR VALEUR"	"Chirurgie viscerale"	80	"Chirurgie vicerale"	902	"HOSP CHIR GALE RDC"	5001	"15/12/2011"	"01/01/3000"	
