"NUM_HOPITAL"	"HOPITAL"	"POLE"	"POLE.LIB"	"CHEF.SERVICE"	"SERVICE"	"URM"	"URM.LIB"	"UH"	"UH.LIB"	"UA"	"VAL.DEB"	"VAL.FIN"	"UGIPOP"
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	542	"HC AJA HEMATO - Greffe"	417	"AJA Greffe"	417	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	418	"HEMATO AJA HSP                          "	418	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	553	"HC AJA HEMATO"	419	"AJA SI"	419	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	420	"HDJ AJA HEMATO"	420	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	421	"HDJ AJA GREFFE MOELLE"	421	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	444	"HDJ AJA HEMATO"	418	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	553	"HC AJA HEMATO"	445	"HDJ AJA GREFFE MOELLE"	419	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	447	"HDJ AJA COQ 3"	420	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	446	"SI AJA GREFFE DE MOELLE"	418	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	553	"HC AJA HEMATO"	439	"HEMATO AJA HSP"	419	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"AJA - Hematologie"	552	"HC AJA HEMATO"	440	"SI HEMATO AJA"	420	"01/06/2010"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"Centre Maladies Sein"	70	"Centre Maladies Sein"	364	"CHIMIO-SEINO-ONCO-POLI"	738	"23/01/2001"	"01/01/3000"	
76	"Saint Louis"	101	"Hematologie Oncologie Radiotherapie"		"Centre Maladies Sein"	70	"Centre Maladies Sein"	365	"CH-ONCOSEINO"	3813	"01/01/1992"	"02/12/1998"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	131	"CHIR-GE-L5"	5211	"01/01/1992"	"01/01/3000"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	132	"CH-GEN-SA-G5"	5211	"01/01/1992"	"31/01/2007"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	133	"CHIR-HSP-LA5"	5211	"01/01/1992"	"31/01/2007"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	134	"CHIR-GE-PRIV-L5"	5211	"01/01/1992"	"01/01/3000"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	153	"CHIR-GE-G5"	5211	"26/09/2003"	"01/01/3000"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	156	"HOP-SEM-GER5"	5211	"01/10/2003"	"08/01/2004"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	157	"HOP-SP-CT-G5"	5211	"29/09/2003"	"31/01/2007"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	195	"CHIR-GE-HSP-L5"	5211	"01/01/2007"	"01/01/3000"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	196	"CHIR-GE-SPC-G5"	5211	"01/01/2007"	"01/01/3000"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	267	"HDJ2-CHIR-GE-G5"	5224	"02/12/1998"	"01/01/3000"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	267	"HJ2-CHRG-CELERIER"	5224	"01/01/1992"	"02/12/1998"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	285	"HJ-CHIR-GER5"	5224	"01/01/1992"	"31/12/2003"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	288	"HOP-SEM-GER5"	5211	"01/01/1992"	"31/12/2003"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	289	"CHIR-INT-GE5"	5211	"01/01/1992"	"31/12/2003"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	291	"CH-GEN-HS-G5"	5211	"01/01/1992"	"31/12/2003"	
76	"Saint Louis"	105	"DUNEGO"		"Chirurgie generale"	520	"CHIRURGIE 2"	280	"HC CHIR GE PC LIBï¿œ"	5211	"09/12/2011"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	340	"CHIR PLAST RECON EST"	270	"HC CHIR PLAST RECON ESTH L4"	3401	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	340	"CHIR PLAST RECON EST"	271	"HC CHIR PLAST PRIV M L4"	3401	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	340	"CHIR PLAST RECON EST"	272	"HC CHIR PLAST PRIV C L4                 "	3401	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	340	"CHIR PLAST RECON EST"	273	"HDJ CHIR PLAST RECON BAT BRU"	3403	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	340	"CHIR PLAST RECON EST"	274	"HDJ CHIR PLAST PRIV M BAT BRU"	3403	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	340	"CHIR PLAST RECON EST"	275	"HDJ CHIR PLAST PRIV C BAT BRU"	3403	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique & brules (Pr Mimoun)"	342	"TRAIT CHIR BRULES"	276	"TRAITEMENT CHIR BRULES L4"	3402	"07/10/2009"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	214	"CHIR-PLAST1-PRIV-G4"	1011	"29/03/2004"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	215	"CHPL-GERLAV4"	1011	"01/01/1992"	"31/03/2007"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	216	"HSEM-CHIR-PLAST G4"	1013	"01/01/1992"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	217	"CHPL-P-BA-G4"	1011	"01/01/1992"	"01/07/1998"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	218	"CHIR-PLAST2-PRIV-G4"	1011	"03/05/1995"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	219	"CHPL-P-SE-G4"	1011	"01/01/1992"	"06/03/1999"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	221	"HDJ2-CHIR-PL2-PRIV-G4"	1041	"01/01/1992"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	222	"HDJ2-CHIR-P1-PRIV-G4"	1041	"29/03/2004"	"01/01/3000"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	233	"CHIMIO-CH-PL"	1031	"01/01/1992"	"31/12/2003"	
76	"Saint Louis"	102	"Peau Reparation cutanee Infectiologie"		"Chirurgie plastique (Pr Revol)"	100	"CHIRURGIE PLASTIQUE"	234	"HDJ2-CHIR-PLAST-G4"	1041	"01/01/1992"	"01/01/3000"	
